time_s,flow_rate_m3_s,flow_rate_L_min
1.14,-4.4587503147716584e-05,-2.675250188862995
1.145,-4.607032213485783e-05,-2.7642193280914698
1.15,-4.7541773959377243e-05,-2.8525064375626346
1.155,-4.9001495562555104e-05,-2.940089733753306
1.16,-5.044912677992797e-05,-3.0269476067956784
1.165,-5.188431043015442e-05,-3.1130586258092654
1.17,-5.330669240314375e-05,-3.1984015441886253
1.175,-5.471592174742785e-05,-3.2829553048456708
1.18,-5.611165075675264e-05,-3.3666990454051584
1.185,-5.74935350558699e-05,-3.4496121033521936
1.19,-5.886123368550627e-05,-3.5316740211303763
1.195,-6.021440918649037e-05,-3.612864551189422
1.2,-6.155272768301521e-05,-3.693163660980913
1.205,-6.287585896501753e-05,-3.772551537901052
1.21,-6.418347656965184e-05,-3.8510085941791106
1.215,-6.547525786184064e-05,-3.9285154717104382
1.22,-6.67508841138793e-05,-4.005053046832758
1.225,-6.801004058407781e-05,-4.080602435044669
1.23,-6.925241659441823e-05,-4.155144995665093
1.235,-7.047770560721018e-05,-4.228662336432611
1.24,-7.168560530072408e-05,-4.301136318043445
1.245,-7.287581764378479e-05,-4.372549058627087
1.25,-7.404804896930609e-05,-4.442882938158365
1.255,-7.520201004674896e-05,-4.512120602804938
1.26,-7.633741615348469e-05,-4.580244969209081
1.265,-7.745398714504579e-05,-4.647239228702747
1.27,-7.855144752424778e-05,-4.713086851454866
1.275,-7.962952650916363e-05,-4.7777715905498175
1.28,-8.068795809993562e-05,-4.841277485996137
1.285,-8.172648114440616e-05,-4.90358886866437
1.29,-8.274483940255404e-05,-4.964690364153242
1.295,-8.374278160971686e-05,-5.0245668965830115
1.3,-8.472006153858765e-05,-5.083203692315259
1.305,-8.567643805996727e-05,-5.1405862835980365
1.31,-8.661167520225966e-05,-5.19670051213558
1.315,-8.752554220969422e-05,-5.251532532581653
1.32,-8.841781359926137e-05,-5.305068815955682
1.325,-8.928826921634696e-05,-5.357296152980817
1.33,-9.013669428905257e-05,-5.408201657343154
1.335,-9.09628794811866e-05,-5.4577727688711954
1.34,-9.176662094391544e-05,-5.5059972566349265
1.345,-9.254772036605978e-05,-5.5528632219635865
1.35,-9.330598502302508e-05,-5.598359101381504
1.355,-9.404122782435337e-05,-5.642473669461202
1.36,-9.475326735988513e-05,-5.685196041593108
1.365,-9.544192794451933e-05,-5.72651567667116
1.37,-9.610703966156153e-05,-5.766422379693692
1.375,-9.674843840464767e-05,-5.80490630427886
1.38,-9.736596591823545e-05,-5.841957955094127
1.385,-9.795946983665117e-05,-5.87756819019907
1.39,-9.852880372168364e-05,-5.911728223301019
1.395,-9.907382709871598e-05,-5.944429625922958
1.4,-9.959440549138519e-05,-5.975664329483111
1.405,-0.00010009041045476246,-6.005424627285747
1.41,-0.00010056171960704499,-6.0337031764227
1.415,-0.00010100821665975179,-6.060492999585107
1.42,-0.0001014297914464162,-6.085787486784972
1.425,-0.00010182633994976776,-6.109580396986066
1.43,-0.0001021977643273969,-6.131865859643814
1.435,-0.00010254397293589627,-6.152638376153776
1.44,-0.00010286488035347211,-6.171892821208327
1.445,-0.00010316040740102097,-6.189624444061258
1.45,-0.00010343048116166592,-6.205828869699955
1.455,-0.00010367503499874777,-6.220502099924866
1.46,-0.0001038940085722665,-6.23364051433599
1.465,-0.00010408734785376947,-6.245240871226168
1.47,-0.00010425500513968192,-6.255300308380915
1.475,-0.0001043969390630773,-6.2638163437846375
1.48,-0.00010451311460388378,-6.270786876233027
1.485,-0.00010460350309752507,-6.276210185851504
1.49,-0.00010466808224199285,-6.280084934519571
1.495,-0.00010470683610334954,-6.282410166200973
1.5,-0.00010471975511965977,-6.283185307179586
1.505,-0.00010470683610334954,-6.282410166200973
1.51,-0.00010466808224199285,-6.280084934519571
1.515,-0.00010460350309752507,-6.276210185851504
1.52,-0.00010451311460388378,-6.270786876233027
1.525,-0.00010439693906307731,-6.263816343784638
1.53,-0.00010425500513968192,-6.255300308380915
1.535,-0.00010408734785376948,-6.2452408712261684
1.54,-0.00010389400857226652,-6.233640514335991
1.545,-0.00010367503499874777,-6.220502099924866
1.55,-0.00010343048116166593,-6.205828869699956
1.555,-0.00010316040740102097,-6.189624444061258
1.56,-0.00010286488035347211,-6.171892821208327
1.565,-0.00010254397293589629,-6.152638376153777
1.57,-0.00010219776432739692,-6.131865859643815
1.575,-0.00010182633994976777,-6.1095803969860665
1.58,-0.0001014297914464162,-6.085787486784972
1.585,-0.0001010082166597518,-6.060492999585108
1.59,-0.000100561719607045,-6.0337031764227005
1.595,-0.00010009041045476248,-6.005424627285748
1.6,-9.95944054913852e-05,-5.975664329483112
1.605,-9.907382709871599e-05,-5.944429625922959
1.61,-9.852880372168365e-05,-5.911728223301019
1.615,-9.795946983665118e-05,-5.877568190199071
1.62,-9.736596591823547e-05,-5.841957955094128
1.625,-9.674843840464768e-05,-5.804906304278861
1.63,-9.610703966156154e-05,-5.766422379693693
1.635,-9.544192794451934e-05,-5.726515676671161
1.64,-9.475326735988515e-05,-5.685196041593109
1.645,-9.404122782435338e-05,-5.642473669461203
1.65,-9.33059850230251e-05,-5.598359101381506
1.655,-9.25477203660598e-05,-5.552863221963588
1.66,-9.176662094391546e-05,-5.505997256634927
1.665,-9.096287948118662e-05,-5.457772768871197
1.67,-9.013669428905259e-05,-5.408201657343156
1.675,-8.928826921634697e-05,-5.357296152980818
1.68,-8.84178135992614e-05,-5.305068815955684
1.685,-8.752554220969424e-05,-5.251532532581654
1.69,-8.661167520225968e-05,-5.196700512135581
1.695,-8.56764380599673e-05,-5.140586283598038
1.7,-8.472006153858768e-05,-5.08320369231526
1.705,-8.374278160971689e-05,-5.024566896583013
1.71,-8.274483940255405e-05,-4.964690364153243
1.715,-8.172648114440619e-05,-4.903588868664372
1.72,-8.068795809993563e-05,-4.841277485996138
1.725,-7.962952650916365e-05,-4.777771590549819
1.73,-7.855144752424778e-05,-4.713086851454866
1.735,-7.745398714504582e-05,-4.647239228702749
1.74,-7.633741615348472e-05,-4.580244969209083
1.745,-7.520201004674901e-05,-4.5121206028049405
1.75,-7.404804896930612e-05,-4.442882938158367
1.755,-7.287581764378477e-05,-4.3725490586270865
1.76,-7.16856053007241e-05,-4.301136318043445
1.765,-7.04777056072102e-05,-4.228662336432612
1.77,-6.925241659441828e-05,-4.155144995665097
1.775,-6.801004058407785e-05,-4.080602435044671
1.78,-6.67508841138793e-05,-4.005053046832758
1.785,-6.54752578618407e-05,-3.9285154717104422
1.79,-6.418347656965187e-05,-3.8510085941791123
1.795,-6.287585896501752e-05,-3.7725515379010512
1.8,-6.155272768301524e-05,-3.6931636609809146
1.805,-6.02144091864904e-05,-3.612864551189424
1.81,-5.886123368550634e-05,-3.5316740211303803
1.815,-5.749353505586993e-05,-3.449612103352196
1.82,-5.6111650756752635e-05,-3.366699045405158
1.825,-5.471592174742793e-05,-3.2829553048456757
1.83,-5.3306692403143794e-05,-3.1984015441886275
1.835,-5.1884310430154415e-05,-3.113058625809265
1.84,-5.0449126779928004e-05,-3.02694760679568
1.845,-4.900149556255514e-05,-2.9400897337533083
1.85,-4.754177395937732e-05,-2.852506437562639
1.855,-4.607032213485786e-05,-2.7642193280914715
1.86,-4.458750314771658e-05,-2.6752501888629947
1.865,-4.309368286135089e-05,-2.5856209716810534
1.87,-4.1589229853563616e-05,-2.495353791213817
1.875,-4.0074515325623146e-05,-2.404470919537389
1.88,-3.8549913010673846e-05,-2.3129947806404307
1.885,-3.7015799081523793e-05,-2.2209479448914276
1.89,-3.5472552057829845e-05,-2.1283531234697906
1.895,-3.3920552712702647e-05,-2.0352331627621587
1.9,-3.2360183978757795e-05,-1.9416110387254677
1.905,-3.079183085363202e-05,-1.847509851217921
1.91,-2.921588030499116e-05,-1.7529528182994696
1.915,-2.7632721175051645e-05,-1.6579632705030987
1.92,-2.604274408463947e-05,-1.5625646450783681
1.925,-2.4446341336810263e-05,-1.4667804802086157
1.93,-2.2843906820054843e-05,-1.3706344092032905
1.935,-2.1235835911112104e-05,-1.2741501546667262
1.94,-1.962252537741702e-05,-1.177351522645021
1.945,-1.800437327920321e-05,-1.0802623967521927
1.95,-1.638177887128798e-05,-0.9829067322772788
1.955,-1.4755142504562075e-05,-0.8853085502737246
1.96,-1.3124865527209105e-05,-0.7874919316325463
1.965,-1.1491350185678787e-05,-0.6894810111407272
1.97,-9.854999525439096e-06,-0.5912999715263457
1.975,-8.216217291529846e-06,-0.4929730374917907
1.98,-6.575407828945899e-06,-0.394524469736754
1.985,-4.9329759828701e-06,-0.295978558972206
1.99,-3.289326998784232e-06,-0.19735961992705392
1.995,-1.6448664224806699e-06,-0.09869198534884019
2.0,0.0,0.0
