iteration,Ux_initial,Uy_initial,Uz_initial,p_initial,Ux_final,Uy_final,Uz_final,p_final,p_corrections,Ux_linear_iterations,Uy_linear_iterations,Uz_linear_iterations,continuity_local,continuity_global,continuity_cumulative
88,0.0016140449,0.0018955517,0.0019347389,0.011424374,5.2466102e-05,6.5848666e-05,6.8930842e-05,1.6012056e-05,3,3,3,3,0.03849249,0.00041909478,1.3137578
89,0.0016069245,0.0018865207,0.0019265899,0.011428026,5.2221698e-05,6.5605884e-05,6.858017e-05,1.5865675e-05,3,3,3,3,0.038174508,0.00046261442,1.3142204
90,0.0015998576,0.0018776852,0.0019184456,0.011403467,5.1993755e-05,6.5337502e-05,6.8233284e-05,1.7697575e-05,3,3,3,3,0.042619322,6.1199481e-05,1.3142816
91,0.0015935129,0.001868945,0.0019101965,0.011383441,5.1769782e-05,6.5021873e-05,6.7890625e-05,1.5510509e-05,3,3,3,3,0.037381697,0.00037079606,1.3146524
92,0.0015869741,0.0018602361,0.0019026181,0.011376141,5.1532331e-05,6.4715322e-05,6.7588887e-05,1.5531792e-05,3,3,3,3,0.037464195,0.00033532541,1.3149877
93,0.001580682,0.0018522329,0.0018964654,0.011377264,5.1281491e-05,6.4434984e-05,6.7318963e-05,1.5663699e-05,3,3,3,3,0.037815189,0.00037016733,1.3153579
94,0.0015750276,0.0018443604,0.0018905263,0.011393179,5.1036171e-05,6.4139191e-05,6.7101253e-05,1.5668278e-05,3,3,3,3,0.037859103,0.00047343827,1.3158313
95,0.0015696294,0.0018371979,0.0018847432,0.011395107,5.0797711e-05,6.3811863e-05,6.6901887e-05,1.8438237e-05,3,3,3,3,0.044591854,0.00022171125,1.316053
96,0.001563722,0.0018302811,0.0018795298,0.01139501,5.0574011e-05,6.3461965e-05,6.6717157e-05,1.7645206e-05,3,3,3,3,0.042704824,0.00013364204,1.3161867
97,0.0015574604,0.0018236999,0.001873901,0.011406558,5.0349684e-05,6.3138918e-05,6.6562095e-05,1.5622584e-05,3,3,3,3,0.037838169,0.00046609155,1.3166528
98,0.0015521643,0.001817912,0.001868299,0.011455184,5.0075301e-05,6.2873979e-05,6.6417295e-05,1.6707944e-05,3,3,3,3,0.040499922,0.00061800226,1.3172708
99,0.0015466485,0.0018118168,0.0018621435,0.011514615,4.9771145e-05,6.2650841e-05,6.6247257e-05,1.8957179e-05,3,3,3,3,0.045988835,0.00027991429,1.3175507
100,0.0015414966,0.0018060102,0.0018549383,0.011579501,4.9501874e-05,6.2430243e-05,6.60192e-05,1.895e-05,3,3,3,3,0.046005007,0.00022413737,1.3177748
101,0.0015374628,0.0018005105,0.0018468875,0.011602785,4.9272812e-05,6.2201853e-05,6.5727395e-05,1.7478304e-05,3,3,3,3,0.042463292,0.00062986539,1.3184047
102,0.0015334613,0.0017950289,0.0018381954,0.011616722,4.9038424e-05,6.1971979e-05,6.5394228e-05,1.7096734e-05,3,3,3,3,0.041566964,0.00068892499,1.3190936
103,0.0015291796,0.0017901298,0.001828699,0.011615781,4.8773133e-05,6.1750165e-05,6.5020888e-05,1.8954716e-05,3,3,3,3,0.046117561,0.00021120814,1.3193048
104,0.001523823,0.0017843784,0.0018180976,0.011615481,4.8484818e-05,6.1446215e-05,6.4588432e-05,1.8317366e-05,3,3,3,3,0.044597153,0.00025820652,1.319563
105,0.0015167286,0.001777396,0.0018067368,0.011576665,4.8124199e-05,6.108017e-05,6.4059503e-05,1.6613783e-05,3,3,3,3,0.040479153,0.00064808442,1.3202111
106,0.0015077086,0.0017702344,0.001794586,0.011518316,4.7683322e-05,6.0685546e-05,6.3438573e-05,1.6986304e-05,3,3,3,3,0.041419516,0.00072832028,1.3209394
