sample_index,distance_from_superior_mm,center_x_ras_mm,center_y_ras_mm,center_z_ras_mm,normal_x,normal_y,normal_z,area_mm2,perimeter_mm,minimum_feret_diameter_mm,maximum_feret_diameter_mm,equivalent_diameter_mm
37,9.17994679008813,2.547750301906922,-8.545158488123306,-48.46571469038789,0.5513247121972911,-0.2753402145313889,-0.7875460799104919,1.8129506993099282,6.238759139638849,0.7980177253533174,2.8589763627618736,1.519315807532018
38,9.428053460090512,2.7026366068276855,-8.599782490764667,-48.639069306564664,0.7559200658280532,-0.16565538225637566,-0.6333586254311264,1.9081097585657814,6.530504319593735,0.8025873371517095,3.0161023195253756,1.5586791845344625
39,9.676160130092894,2.911787018031162,-8.62468045411201,-48.770191831762446,0.8429858463759499,-0.10035185006152539,-0.5284925439389402,2.1774773847158615,7.275480230764274,0.8194308739455081,3.399844120274373,1.6650676604831216
40,9.924266800095277,3.1209374292346377,-8.649578417459354,-48.90131435696022,0.8429858463759432,-0.10035185006152815,-0.5284925439389503,2.4083568100004222,7.913297605503217,0.8383150424118884,3.7474682500032657,1.751118250811397
41,10.172373470097657,3.3300878404381122,-8.674476380806698,-49.032436882158,0.8429858463759498,-0.10035185006152883,-0.5284925439389396,2.711222146346216,8.518896833884634,0.8710574455568637,4.052229348337678,1.8579653525536333
42,10.42048014010004,3.5392382516415886,-8.699374344154043,-49.163559407355784,0.8429858463759432,-0.10035185006152815,-0.5284925439389503,3.088433043034426,8.997447105451586,0.921873225503289,4.264306485122722,1.9830065763023041
43,10.66858681010242,3.7483886628450627,-8.724272307501385,-49.29468193255356,0.8429858463759501,-0.10035185006152532,-0.5284925439389399,3.600504059805277,9.653203543746583,0.9957798982531044,4.52505585635406,2.141098818346219
44,10.916693480104803,3.9575390740485394,-8.74917027084873,-49.42580445775134,0.8429858463759498,-0.10035185006152883,-0.5284925439389396,4.1516099148855545,10.167562545552192,1.0695384022271472,4.719161302532933,2.2991289476553662
45,11.164800150107187,4.166689485252016,-8.774068234196074,-49.55692698294912,0.8429858463759435,-0.1003518500615281,-0.52849254393895,4.76996367290238,10.801266154833007,1.143535602450727,4.980338868082704,2.4644079157658725
46,11.412906820109567,4.375839896455491,-8.798966197543418,-49.6880495081469,0.8429858463759492,-0.10035185006152898,-0.5284925439389404,5.444806630109954,11.53248797119596,1.2175496436629212,5.302523278118244,2.632972296643509
47,11.661013490111948,4.584990307658966,-8.82386416089076,-49.81917203334468,0.8429858463759438,-0.10035185006152456,-0.5284925439389501,6.285475936360919,12.531460934204606,1.2976834963355297,5.77521188776154,2.8289426504713733
48,11.90912016011433,4.794140718862442,-8.848762124238105,-49.95029455854245,0.8429858463759456,-0.10035185006152866,-0.528492543938946,7.489468169191011,14.281409786051032,1.3977782495651592,6.637973591862623,3.088023160866715
49,12.157226830116715,5.003291130065918,-8.87366008758545,-50.081417083740234,0.8429858463759472,-0.10035185006152958,-0.5284925439389436,11.843901052348698,21.321403193665155,2.0428965040734415,9.881232226412942,3.8833134284758386
